epoch,train_losses,train_accuracies,test_losses,test_accuracies
1,1.1319231428205967,0.5897454687576335,0.8965047443320292,0.6829411190313446
2,0.7567563989199698,0.7329620401582881,0.8322312234906677,0.7157504149985353
3,0.6036179481307045,0.7921735307049685,0.5879383258382727,0.8066595059076263
4,0.4960817482089624,0.8299623821388441,0.5451575759219827,0.8180841714676301
5,0.4330259854672477,0.8510430406956861,0.549269996953677,0.8186700517527585
6,0.37864647241076455,0.872050417704822,0.5899874880123213,0.8166194707548091
7,0.3356776748783886,0.8852655234745225,0.4532616002172787,0.8549946294307197
8,0.30408429643139245,0.8958180663442279,0.48756883582620886,0.8412264427302021
9,0.2727239447995089,0.9070789975084274,0.485877078998348,0.849624060150376
10,0.250208728259895,0.9145537153744687,0.4611110724277378,0.8639781271360218
11,0.22420175440202,0.9226146856221603,0.4579434985792415,0.8718875109852553
12,0.200064892770024,0.9305535199570082,0.4498928973960303,0.8659310614197833
13,0.18347803644719535,0.9357809370267234,0.4767098918395198,0.8676887022751685
14,0.17040982263861224,0.9415946064780888,0.4218509528519852,0.8784298408358558
15,0.15381419082405046,0.9471640041037667,0.45353377978346365,0.8727663314129479
16,0.1450873380250414,0.9493135961698178,0.4523189994072692,0.8820427692608144
17,0.13900307200965473,0.9522937124432068,0.42982232037813095,0.8802851284054292
18,0.12646425709972392,0.957521129512922,0.4781788781333009,0.8669075285616639
19,0.12269327683752636,0.9581073818945722,0.510232265564318,0.8710086905575627
20,0.11442525996826589,0.9593287410230104,0.5058823746039028,0.8726686846987599
21,0.10953912149198004,0.9616004690019053,0.48067005772304794,0.879992188262865
22,0.097943195640255,0.9667301773413455,0.5118099896993592,0.8650522409920907
23,0.09583060397708323,0.9670477307147394,0.4475445934507695,0.8904403866809882
24,0.08850015404459555,0.9699301382578533,0.5400009195418647,0.87569573283859
25,0.08790107531967806,0.9706140993697787,0.5677828649810938,0.8689581095596133
